国家	货币	货币代码	编号
朝鲜 (朝鲜民主共和国’S)	朝鲜圆	KPW	408
柬埔寨	瑞尔	KHR	116
格恩西岛	英镑	GBP	826
格林纳达	东加勒比元	XCD	951
格陵兰岛	丹麦克朗	DKK	208
格鲁吉亚	拉里	GEL	981
梵蒂冈	欧元	EUR	978
欧盟	欧元	EUR	978
比利时	欧元	EUR	978
毛里塔尼亚	乌吉亚	MRU	929
毛里求斯	毛里求斯卢比	MUR	480
汤加	潘加’	TOP	776
沙特阿拉伯	沙特里亚尔	SAR	682
法国	欧元	EUR	978
法属南部领土	欧元	EUR	978
法属圭亚那	欧元	EUR	978
法属玻利尼西亚	非洲金融共同体法郎	XPF	953
法罗群岛	丹麦克朗	DKK	208
波兰	兹罗提	PLN	985
波多尼哥	美元	USD	840
波斯尼亚和黑塞哥维那	可兑换马克	BAM	977
泰国	泰铢	THB	764
泽西岛	英镑	GBP	826
津巴布韦	津巴布韦元	ZWL	932
洪都拉斯	伦皮拉	HNL	340
海地	古德	HTG	332
海地	美元	USD	840
澳大利亚	澳元	AUD	036
爱尔兰	欧元	EUR	978
爱沙尼亚	欧元	EUR	978
牙买加	牙买加元	JMD	388
特克斯和凯科斯群岛	美元	USD	840
特立达与多巴哥	特立达与多巴哥元	TTD	780
玻利维亚（多民族玻利维亚国）	玻利维亚诺	BOB	068
玻利维亚（多民族玻利维亚国）	玻利维亚资金	BOV	984
瑙鲁	澳元	AUD	036
瑞典	瑞典克朗	SEK	752
瑞士	WIR欧元	CHE	947
瑞士	瑞士法郎	CHF	756
瑞士	WIR法郎	CHW	948
瓜德罗普岛	欧元	EUR	978
瓦利斯群岛和富图纳群岛	非洲金融共同体法郎	XPF	953
瓦努阿图	瓦图	VUV	548
留尼汪	欧元	EUR	978
白俄罗斯	白俄罗斯卢布	BYR	974
百慕大群岛	百慕大元	BMD	060
皮特凯恩	新西兰元	NZD	554
直布罗陀	直布罗陀镑	GIP	292
福克兰群岛[马尔维纳斯群岛]	福克兰群岛镑	FKP	238
科克斯（克林）群岛	澳元	AUD	036
科威特	科威特第纳尔	KWD	414
科摩罗	科摩罗法郎	KMF	174
科特迪瓦	多哥非洲共同体法郎	XOF	952
秘鲁	新索尔	PEN	604
突尼斯	突尼斯第纳尔	TND	788
立陶宛	欧元	EUR	978
索马里	索马里先令	SOS	706
约旦	约旦第纳尔	JOD	400
纳米比亚	纳米比亚元	NAD	516
纳米比亚	兰特	ZAR	710
纽埃岛	新西兰元	NZD	554
维德角	佛得角埃斯库多	CVE	132
缅甸	缅甸元	MMK	104
罗马尼亚	罗马尼亚列伊	RON	946
美国	美元	USD	840
美国	美元（次日）	USN	997
美属维京群岛	美元	USD	840
美属萨摩亚	美元US Dollar	USD	840
美属边疆群岛	美元	USD	840
老挝人民’S民主共和国	基普	LAK	418
肯尼亚	肯尼亚先令	KES	404
芬兰	欧元	EUR	978
苏丹	苏丹镑	SDG	938
苏里南	苏里南元	SRD	968
英国属地曼岛	英镑	GBP	826
英属印度洋领土	美元	USD	840
英属维京群岛	美元	USD	840
荷兰	欧元	EUR	978
莫桑比克	莫桑比克梅蒂卡尔	MZN	943
莱索托	鲁梯	LSL	426
莱索托	兰特	ZAR	710
菲律宾	菲律宾比索	PHP	608
萨尔瓦多	萨尔瓦多科朗	SVC	222
萨尔瓦多	美元	USD	840
萨摩亚	塔拉	WST	882
葡萄牙	欧元	EUR	978
蒙古国	图格里克	MNT	496
